id,name,type,start_time,finish_time,event_date,st_envelope
27,Repsol Sport Centre,dance,11,13,"May 23, 2019",0103000020E610000001000000050000001BE5AAC31B845CC02C09F599588449401BE5AAC31B845CC047DD730580844940A0C37C7901845CC047DD730580844940A0C37C7901845CC02C09F599588449401BE5AAC31B845CC02C09F59958844940
28,Big Four Building,health_wellness,18,20,"June 26, 2019",0103000020E610000001000000050000005620C4DFC0835CC0756C4E6F908449405620C4DFC0835CC0A2ABBE04B88449407291D673AD835CC0A2ABBE04B88449407291D673AD835CC0756C4E6F908449405620C4DFC0835CC0756C4E6F90844940
83,CIBC,beliefs,14,16,"June 16, 2019",0103000020E61000000100000005000000EFFBDC75DB865CC05E752ED681884940EFFBDC75DB865CC0E3C4573B8A8849401D401AA9D2865CC0E3C4573B8A8849401D401AA9D2865CC05E752ED681884940EFFBDC75DB865CC05E752ED681884940
87,Clayton Carroll Automotive Centre,arts,11,13,"May 27, 2019",0103000020E610000001000000050000000DFCA886FD855CC0DEFD96A5428849400DFCA886FD855CC00CEFCDCA518849409588A6A2E7855CC00CEFCDCA518849409588A6A2E7855CC0DEFD96A5428849400DFCA886FD855CC0DEFD96A542884940
88,Campus Centre,fashion_beauty,12,14,"May 11, 2019",0103000020E610000001000000050000005303CDE7DC855CC0DC51F75C018849405303CDE7DC855CC036A737482D884940A1EAA1C7B9855CC036A737482D884940A1EAA1C7B9855CC0DC51F75C018849405303CDE7DC855CC0DC51F75C01884940
89,Alberta College of Art and Design,learning,12,14,"June 18, 2019",0103000020E61000000100000005000000D3286E26F0855CC0CA051D63DD874940D3286E26F0855CC04087F9F2028849408CB564FACA855CC04087F9F2028849408CB564FACA855CC0CA051D63DD874940D3286E26F0855CC0CA051D63DD874940
85,Safeway Sunnyside,health_wellness,14,16,"June 10, 2019",0103000020E610000001000000050000004F33EE177D855CC00F9656E8288749404F33EE177D855CC03C25315239874940282268716B855CC03C25315239874940282268716B855CC00F9656E8288749404F33EE177D855CC00F9656E828874940
96,John Ware Building,fashion_beauty,13,15,"June 27, 2019",0103000020E61000000100000005000000F44F70B1A2855CC018C8581245884940F44F70B1A2855CC05D5AC3FB60884940F2BEE0898F855CC05D5AC3FB60884940F2BEE0898F855CC018C8581245884940F44F70B1A2855CC018C8581245884940
100,Calgary Transit Victoria Park Garage,film,10,12,"June 19, 2019",0103000020E61000000100000005000000B3DE5E880B835CC0E98B738A44854940B3DE5E880B835CC0F32B8CE3768549402A70B20DDC825CC0F32B8CE3768549402A70B20DDC825CC0E98B738A44854940B3DE5E880B835CC0E98B738A44854940
101,Calgary Transit - Spring Gardens Garage,pets,8,10,"May 21, 2019",0103000020E6100000010000000500000082F1C28CDF825CC095C2723A7F8A494082F1C28CDF825CC0643DB5FAEA8A49400F99F221A8825CC0643DB5FAEA8A49400F99F221A8825CC095C2723A7F8A494082F1C28CDF825CC095C2723A7F8A4940
405,Chinook Centre West Parkade,social,10,12,"June 17, 2019",0103000020E610000001000000050000000B934EC9DE845CC06726BD14C37F49400B934EC9DE845CC0C69C0C33D97F494091C2AB9BC1845CC0C69C0C33D97F494091C2AB9BC1845CC06726BD14C37F49400B934EC9DE845CC06726BD14C37F4940
457,West Hillhurst Community Center,outdoor_adventure,18,20,"June 10, 2019",0103000020E61000000100000005000000284C7386BD865CC02C82FFAD64874940284C7386BD865CC0AA735655798749405CFF5316AA865CC0AA735655798749405CFF5316AA865CC02C82FFAD64874940284C7386BD865CC02C82FFAD64874940
458,Hillhurst Sunnyside Community Association,social,8,10,"June 24, 2019",0103000020E61000000100000005000000A5A54D30F7855CC0A62325E252874940A5A54D30F7855CC03802A72D6487494042CF66D5E7855CC03802A72D6487494042CF66D5E7855CC0A62325E252874940A5A54D30F7855CC0A62325E252874940
486,Greyhound Station,food_drink,9,11,"June 7, 2019",0103000020E610000001000000050000004B06DBE360865CC0F1F3DF83D78549404B06DBE360865CC0EE4C5766008649404D373FB445865CC0EE4C5766008649404D373FB445865CC0F1F3DF83D78549404B06DBE360865CC0F1F3DF83D7854940
490,South Calgary Community Association,health_wellness,9,11,"June 13, 2019",0103000020E61000000100000005000000E46ABF104D865CC0CB1F1D684F834940E46ABF104D865CC0D9DC87725883494052EE3EC747865CC0D9DC87725883494052EE3EC747865CC0CB1F1D684F834940E46ABF104D865CC0CB1F1D684F834940
511,Calgary Tower,beliefs,9,11,"June 14, 2019",0103000020E6100000010000000500000069519FE40E845CC0F8D2252DA685494069519FE40E845CC0BDA94885B1854940331587D805845CC0BDA94885B1854940331587D805845CC0F8D2252DA685494069519FE40E845CC0F8D2252DA6854940
707,Central Landmark,film,11,13,"June 17, 2019",0103000020E61000000100000005000000C3FB05161B845CC021AD31E884884940C3FB05161B845CC0714BF5AE8B884940EC40E77F03845CC0714BF5AE8B884940EC40E77F03845CC021AD31E884884940C3FB05161B845CC021AD31E884884940
708,Safeway Beacon Heights,fashion_beauty,10,12,"June 30, 2019",0103000020E610000001000000050000009F80DC34EC835CC0CD7E935CB48849409F80DC34EC835CC0AAA0FDA3CA884940D400EF2EE1835CC0AAA0FDA3CA884940D400EF2EE1835CC0CD7E935CB48849409F80DC34EC835CC0CD7E935CB4884940
711,Calgary Public Library - Louise Riley Branch,dance,8,10,"May 26, 2019",0103000020E610000001000000050000004C080C48B1865CC053ECC3D55C8849404C080C48B1865CC0E473DD4A658849408B27CCC5A9865CC0E473DD4A658849408B27CCC5A9865CC053ECC3D55C8849404C080C48B1865CC053ECC3D55C884940
738,Dragon City Mall,outdoor_adventure,14,16,"June 32, 2019",0103000020E61000000100000005000000836852AF00845CC06B3986B652864940836852AF00845CC0C417377F5D864940484A1F5FE7835CC0C417377F5D864940484A1F5FE7835CC06B3986B652864940836852AF00845CC06B3986B652864940
688,Calgary Municipal Building,fashion_beauty,17,19,"June 20, 2019",0103000020E61000000100000005000000BDDAF6E2B0835CC0F762DE99BF854940BDDAF6E2B0835CC0E7AB3F1DEA8549408042E2C391835CC0E7AB3F1DEA8549408042E2C391835CC0F762DE99BF854940BDDAF6E2B0835CC0F762DE99BF854940
807,Home Depot,music,16,18,"June 2, 2019",0103000020E61000000100000005000000576023A4C9865CC0B23DC45098884940576023A4C9865CC072AE17F9AB88494034D769A4A5865CC072AE17F9AB88494034D769A4A5865CC0B23DC45098884940576023A4C9865CC0B23DC45098884940
740,Eau Claire Market,sport_fitness,8,10,"June 27, 2019",0103000020E61000000100000005000000B67757876D845CC00A3E1757A6864940B67757876D845CC0AEEF6888CF86494046A5225F53845CC0AEEF6888CF86494046A5225F53845CC00A3E1757A6864940B67757876D845CC00A3E1757A6864940
748,Cambrian Heights Baptist Church,sport_fitness,9,11,"May 10, 2019",0103000020E61000000100000005000000C6CECAAC94855CC0E3D418BECF8A4940C6CECAAC94855CC0D7FB8D76DC8A4940E778BB148D855CC0D7FB8D76DC8A4940E778BB148D855CC0E3D418BECF8A4940C6CECAAC94855CC0E3D418BECF8A4940
832,Washrooms Stampede Park,outdoor_adventure,15,17,"May 15, 2019",0103000020E61000000100000005000000E67BA1DBA6835CC06473D53C47844940E67BA1DBA6835CC0303B7AB251844940068D4FB7A2835CC0303B7AB251844940068D4FB7A2835CC06473D53C47844940E67BA1DBA6835CC06473D53C47844940
