id,name,type,start_time,finish_time,event_date,st_envelope,date_number
83,CIBC,beliefs,14,16,"June 16, 2019",0103000020E61000000100000005000000EFFBDC75DB865CC05E752ED681884940EFFBDC75DB865CC0E3C4573B8A8849401D401AA9D2865CC0E3C4573B8A8849401D401AA9D2865CC05E752ED681884940EFFBDC75DB865CC05E752ED681884940,47
110,Kerby Hall,dance,13,15,"June 26, 2019",0103000020E61000000100000005000000ECBE63786C885CC0A6C28EB575814940ECBE63786C885CC0E9256B798A814940CA7BE6F65C885CC0E9256B798A814940CA7BE6F65C885CC0A6C28EB575814940ECBE63786C885CC0A6C28EB575814940,57
405,Chinook Centre West Parkade,social,10,12,"June 17, 2019",0103000020E610000001000000050000000B934EC9DE845CC06726BD14C37F49400B934EC9DE845CC0C69C0C33D97F494091C2AB9BC1845CC0C69C0C33D97F494091C2AB9BC1845CC06726BD14C37F49400B934EC9DE845CC06726BD14C37F4940,48
421,2600-2680 61 Ave SE,arts,9,11,"June 19, 2019",0103000020E61000000100000005000000AE354A4DF17F5CC066C86768F27F4940AE354A4DF17F5CC0185FB4C70B804940A1BFD023C67F5CC0185FB4C70B804940A1BFD023C67F5CC066C86768F27F4940AE354A4DF17F5CC066C86768F27F4940,50
458,Hillhurst Sunnyside Community Association,social,8,10,"June 24, 2019",0103000020E61000000100000005000000A5A54D30F7855CC0A62325E252874940A5A54D30F7855CC03802A72D6487494042CF66D5E7855CC03802A72D6487494042CF66D5E7855CC0A62325E252874940A5A54D30F7855CC0A62325E252874940,55
464,Alberta Innovates Technology Futures,social,17,19,"June 22, 2019",0103000020E61000000100000005000000A65EB7088C885CC07E231521D08A4940A65EB7088C885CC0A0275426EB8A49400664AF777F885CC0A0275426EB8A49400664AF777F885CC07E231521D08A4940A65EB7088C885CC07E231521D08A4940,53
485,Huntington Hills Community Centre,dance,9,11,"June 32, 2019",0103000020E61000000100000005000000984B4FFDA8845CC0FEA4901AC98F4940984B4FFDA8845CC0E00731E1E18F49409A547E6399845CC0E00731E1E18F49409A547E6399845CC0FEA4901AC98F4940984B4FFDA8845CC0FEA4901AC98F4940,63
488,Corpus Christi Church,social,16,18,"June 11, 2019",0103000020E61000000100000005000000D87B968C88845CC0ED4A2602308D4940D87B968C88845CC0DC72E4373B8D4940297C11C880845CC0DC72E4373B8D4940297C11C880845CC0ED4A2602308D4940D87B968C88845CC0ED4A2602308D4940,42
511,Calgary Tower,beliefs,9,11,"June 14, 2019",0103000020E6100000010000000500000069519FE40E845CC0F8D2252DA685494069519FE40E845CC0BDA94885B1854940331587D805845CC0BDA94885B1854940331587D805845CC0F8D2252DA685494069519FE40E845CC0F8D2252DA6854940,45
559,Safeway,social,15,17,"June 27, 2019",0103000020E61000000100000005000000A9B3A4EDA98A5CC0DBE10A838D894940A9B3A4EDA98A5CC090D2B6ABA189494059E1F148978A5CC090D2B6ABA189494059E1F148978A5CC0DBE10A838D894940A9B3A4EDA98A5CC0DBE10A838D894940,58
