id,name,type,start_time,finish_time,event_date,st_envelope,date_number
69,Shell,beliefs,8,10,"June 22, 2019",0103000020E610000001000000050000004EF79562A28C5CC032225168599049404EF79562A28C5CC04A6D9857649049402A7A96D6958C5CC04A6D9857649049402A7A96D6958C5CC032225168599049404EF79562A28C5CC03222516859904940,53
62,Schanks,arts,17,19,"June 24, 2019",0103000020E61000000100000005000000A1A17F820B8D5CC0449B2D6A41904940A1A17F820B8D5CC00512B98553904940F0D12C1AFC8C5CC00512B98553904940F0D12C1AFC8C5CC0449B2D6A41904940A1A17F820B8D5CC0449B2D6A41904940,55
83,CIBC,beliefs,14,16,"June 16, 2019",0103000020E61000000100000005000000EFFBDC75DB865CC05E752ED681884940EFFBDC75DB865CC0E3C4573B8A8849401D401AA9D2865CC0E3C4573B8A8849401D401AA9D2865CC05E752ED681884940EFFBDC75DB865CC05E752ED681884940,47
110,Kerby Hall,dance,13,15,"June 26, 2019",0103000020E61000000100000005000000ECBE63786C885CC0A6C28EB575814940ECBE63786C885CC0E9256B798A814940CA7BE6F65C885CC0E9256B798A814940CA7BE6F65C885CC0A6C28EB575814940ECBE63786C885CC0A6C28EB575814940,57
405,Chinook Centre West Parkade,social,10,12,"June 17, 2019",0103000020E610000001000000050000000B934EC9DE845CC06726BD14C37F49400B934EC9DE845CC0C69C0C33D97F494091C2AB9BC1845CC0C69C0C33D97F494091C2AB9BC1845CC06726BD14C37F49400B934EC9DE845CC06726BD14C37F4940,48
421,2600-2680 61 Ave SE,arts,9,11,"June 19, 2019",0103000020E61000000100000005000000AE354A4DF17F5CC066C86768F27F4940AE354A4DF17F5CC0185FB4C70B804940A1BFD023C67F5CC0185FB4C70B804940A1BFD023C67F5CC066C86768F27F4940AE354A4DF17F5CC066C86768F27F4940,50
458,Hillhurst Sunnyside Community Association,social,8,10,"June 24, 2019",0103000020E61000000100000005000000A5A54D30F7855CC0A62325E252874940A5A54D30F7855CC03802A72D6487494042CF66D5E7855CC03802A72D6487494042CF66D5E7855CC0A62325E252874940A5A54D30F7855CC0A62325E252874940,55
464,Alberta Innovates Technology Futures,social,17,19,"June 22, 2019",0103000020E61000000100000005000000A65EB7088C885CC07E231521D08A4940A65EB7088C885CC0A0275426EB8A49400664AF777F885CC0A0275426EB8A49400664AF777F885CC07E231521D08A4940A65EB7088C885CC07E231521D08A4940,53
485,Huntington Hills Community Centre,dance,9,11,"June 32, 2019",0103000020E61000000100000005000000984B4FFDA8845CC0FEA4901AC98F4940984B4FFDA8845CC0E00731E1E18F49409A547E6399845CC0E00731E1E18F49409A547E6399845CC0FEA4901AC98F4940984B4FFDA8845CC0FEA4901AC98F4940,63
488,Corpus Christi Church,social,16,18,"June 11, 2019",0103000020E61000000100000005000000D87B968C88845CC0ED4A2602308D4940D87B968C88845CC0DC72E4373B8D4940297C11C880845CC0DC72E4373B8D4940297C11C880845CC0ED4A2602308D4940D87B968C88845CC0ED4A2602308D4940,42
